word	phones	freq	unig.h	word.length	up	sum.diphone.h	postup.sum.diphone.h	diphone.h.redundant_proportion	segments.redundant	redundancy.prop	mean.redun.seg.h	seg.h.redun.prop	scaled.unig.h	scaled.redundancy.prop	scaled.mean.redun.seg.h	scaled.seg.h.redun.prop	language
si	si	17532.783069181	5.789617764189375	2	2	11.004220466318195	0	0	0	0	0	0	-2.10078576986678	2.9000907426819382	0	0	Tagalog
iii	ii	177.293992344764	12.417385323721549	2	2	12.533573081389802	0	0	0	0	0	0	-0.290362919835313	2.9000907426819382	0	0	Tagalog
aj	aj	19.0610625054017	15.634828529086265	2	2	11.342074667999139	0	0	0	0	0	0	0.5885050617813997	2.9000907426819382	0	0	Tagalog
eo	eo	19.0610625054017	15.634828529086265	2	2	5.838986531106715	0	0	0	0	0	0	0.5885050617813997	2.9000907426819382	0	0	Tagalog
oh	oh	15.927737162048	15.893915750403396	2	2	6.557782776030373	0	0	0	0	0	0	0.6592766181781063	2.9000907426819382	0	0	Tagalog
uy	uy	15.6666267167685	15.917762492357767	2	2	7.067025093858021	0	0	0	0	0	0	0.6657905289550322	2.9000907426819382	0	0	Tagalog
ong	oG	14.0999640450917	16.069765585802813	2	2	2.477409359566353	0	0	0	0	0	0	0.7073112780121709	2.9000907426819382	0	0	Tagalog
oa	oa	13.3166327092533	16.152227745994782	2	2	7.557782776030373	0	0	0	0	0	0	0.7298364160369321	2.9000907426819382	0	0	Tagalog
fu	fu	11.2277491470174	16.39838833326419	2	2	5.6865005271832185	0	0	0	0	0	0	0.7970769684502031	2.9000907426819382	0	0	Tagalog
ot	ot	5.74442979614846	17.365221469328986	2	2	3.4703199347800333	0	0	0	0	0	0	1.0611744622106574	2.9000907426819382	0	0	Tagalog
mga	mga	26114.1778532909	5.214839500511137	3	2	13.445447489577901	1.8562645225385503	0.13805896188858083	1	0.3333333333333333	1.8562645225385503	0.13805896188858083	-3.892179819988633	1.9530323605591482	1.1137896987365055	1.1877478896581113	Tagalog
gma	gma	673.664948821047	10.491497737655665	3	2	6.349232174318598	0.634986656652476	0.10000999163660651	1	0.3333333333333333	0.634986656652476	0.10000999163660651	-1.780287926470656	1.9530323605591482	0.10773489915164983	0.7672695820870987	Tagalog
pba	pba	195.571723514327	12.275831179507533	3	2	11.77935081656104	1.2690811456628623	0.10773778329775292	1	0.3333333333333333	1.2690811456628623	0.10773778329775292	-1.0661390917681794	1.9530323605591482	0.6300843348358586	0.8526692325223592	Tagalog
kho	kho	78.8553544744017	13.5862483486412	3	2	11.3503217355521	3.9068905956085187	0.34420967851256073	1	0.3333333333333333	3.9068905956085187	0.34420967851256073	-0.5416671111614185	1.9530323605591482	2.803038526208775	3.4659147850185623	Tagalog
zsa	zsa	65.0165008745894	13.864651155898201	3	2	7.25719118880729	1.0283724983114104	0.1417039280841135	1	0.3333333333333333	1.0283724983114104	0.1417039280841135	-0.43024116592209194	1.9530323605591482	0.43179523394086466	1.2280283284426958	Tagalog
afp	afp	58.2276292973231	14.023753188045976	3	2	17.80618277384591	6.6865005271832185	0.3755156628519218	1	0.3333333333333333	6.6865005271832185	0.3755156628519218	-0.36656330830193407	1.9530323605591482	5.092804017541541	3.811876508152873	Tagalog
dpa	dpa	54.5720830634104	14.1172939558854	3	2	10.222888946130054	0.7512137317380081	0.07348350702981914	1	0.3333333333333333	0.7512137317380081	0.07348350702981914	-0.32912522146073886	1.9530323605591482	0.2034795367953298	0.4741260021319562	Tagalog
mmda	mda	43.6054443616724	14.44094879549223	3	2	8.790270840983885	1.3710128753868458	0.1559693552324481	1	0.3333333333333333	1.3710128753868458	0.1559693552324481	-0.19958792695643937	1.9530323605591482	0.714052863852306	1.3856752404191919	Tagalog
lto	lto	38.1221250108034	14.634828529086265	3	2	10.040602334017837	3.1230644942098094	0.3110435400502598	1	0.3333333333333333	3.1230644942098094	0.3110435400502598	-0.12199089123933325	1.9530323605591482	2.157344345237171	3.0993965408468807	Tagalog
dfa	dfa	36.5554623391266	14.695370071021314	3	2	12.573213240854107	2.101538026462062	0.16714406939616203	1	0.3333333333333333	2.101538026462062	0.16714406939616203	-0.09776017818430358	1.9530323605591482	1.315839201741469	1.5091667532783195	Tagalog
eto	eto	27.4165967543449	15.110407570300161	3	2	7.105786502777974	3.1230644942098094	0.4395100377683543	1	0.3333333333333333	3.1230644942098094	0.4395100377683543	0.06835145740786591	1.9530323605591482	2.157344345237171	4.519076894411162	Tagalog
sro	sro	21.6721669581965	15.449613656619356	3	2	12.88144019525037	2.8772197289321757	0.22336164942123948	1	0.3333333333333333	2.8772197289321757	0.22336164942123948	0.204112871495038	1.9530323605591482	1.9548242529886082	2.130425955515362	Tagalog
pma	pma	18.7999520601222	15.654728086523972	3	2	11.145256327550653	0.634986656652476	0.05697371491428267	1	0.3333333333333333	0.634986656652476	0.05697371491428267	0.2862064015837969	1.9530323605591482	0.10773489915164983	0.2916766637893553	Tagalog
jru	jru	18.5388416148428	15.674905968461598	3	2	11.55218875955715	4.681824039973745	0.40527592973240345	1	0.3333333333333333	4.681824039973745	0.40527592973240345	0.29428225250634865	1.9530323605591482	3.441407183202995	4.1407565426951285	Tagalog
gsis	gSs	18.2777311695633	15.695370071021314	3	2	11.18843517243733	5.443816005727689	0.48655740698560873	1	0.3333333333333333	5.443816005727689	0.48655740698560873	0.3024726583203458	1.9530323605591482	4.069115009411455	5.038996304926962	Tagalog
nfa	nfa	17.7555102790043	15.737190246715945	3	2	13.251285145966744	2.101538026462062	0.1585912613994048	1	0.3333333333333333	2.101538026462062	0.1585912613994048	0.319210465861731	1.9530323605591482	1.315839201741469	1.4146498660238034	Tagalog
dti	dti	16.1888476073275	15.870456777579406	3	2	11.227007924101366	2.340295210430478	0.2084522631721399	1	0.3333333333333333	2.340295210430478	0.2084522631721399	0.3725481075203483	1.9530323605591482	1.5125207412799877	1.9656626661167846	Tagalog
psa	psa	15.6666267167685	15.917762492357767	3	2	11.538642169209588	1.0283724983114104	0.0891242213105093	1	0.3333333333333333	1.0283724983114104	0.0891242213105093	0.39148140792897146	1.9530323605591482	0.43179523394086466	0.6469711810262554	Tagalog
oyo	oyo	14.0999640450917	16.069765585802813	3	2	7.6301794717715605	2.3203242091847724	0.30409824798603907	1	0.3333333333333333	2.3203242091847724	0.30409824798603907	0.45231803717596353	1.9530323605591482	1.4960691849085963	3.022644275715648	Tagalog
tko	tko	12.7944118186943	16.209943243851075	3	2	15.198763849652906	3.5365405443350637	0.23268606442726114	1	0.3333333333333333	3.5365405443350637	0.23268606442726114	0.5084217388711985	1.9530323605591482	2.4979544359965695	2.233469854334629	Tagalog
vfa	vfa	8.35553424894322	16.824653087966283	3	2	8.934428040626804	2.101538026462062	0.23521796995911856	1	0.3333333333333333	2.101538026462062	0.23521796995911856	0.7544488034087588	1.9530323605591482	1.315839201741469	2.2614498849613414	Tagalog
dna	dna	6.78887157726637	17.12421336982519	3	2	8.54728087114422	0.8829605788097805	0.10330309628535454	1	0.3333333333333333	0.8829605788097805	0.10330309628535454	0.8743426647212809	1.9530323605591482	0.3120089317259122	0.8036616068959161	Tagalog
wta	wta	6.26665068670742	17.239690587245125	3	2	7.993574654091828	1.3090764798197578	0.16376609170087067	1	0.3333333333333333	1.3090764798197578	0.16376609170087067	0.9205604390009261	1.9530323605591482	0.6630313807240205	1.4718367983564768	Tagalog
zte	zte	5.74442979614846	17.365221469328986	3	2	9.05815198164898	3.8293332911530986	0.42274994931758614	1	0.3333333333333333	3.8293332911530986	0.42274994931758614	0.9708020200062807	1.9530323605591482	2.739148972021507	4.33386153694288	Tagalog
von	von	4.96109846031004	17.576725574522694	3	2	6.805084255599571	2.294122336322191	0.33711887320637807	1	0.3333333333333333	2.294122336322191	0.33711887320637807	1.055452907960336	1.9530323605591482	1.4744848094868843	3.387554456349627	Tagalog
hbo	hbo	4.69998801503056	17.65472808652397	3	2	13.620490900812683	3.304209369066464	0.24259106320971985	1	0.3333333333333333	3.304209369066464	0.24259106320971985	1.086672074593095	1.9530323605591482	2.306566464019708	2.3429297713037376	Tagalog
ryan	ryan	183.821753476751	12.365221469328983	4	2	8.54058814058022	3.357865864673794	0.39316564730700987	2	0.5	1.678932932336897	0.39316564730700987	-1.1947165054402695	2.7143199085562215	0.4489625807585741	2.713686540988487	Tagalog
pnoy	pnoy	99.2219692062007	13.254797479635334	4	2	19.909176121302092	9.398906450403917	0.4720891710002721	2	0.5	4.6994532252019585	0.4720891710002721	-0.8013688446681119	2.7143199085562215	2.317213068642894	3.3451367219445762	Tagalog
ewan	ewan	67.1053844368252	13.819028538772404	4	2	10.527535683333344	3.2899997757363546	0.3125137615011758	2	0.5	1.6449998878681773	0.3125137615011758	-0.5518803640040117	2.7143199085562215	0.4279743334576584	2.0684081055694734	Tagalog
pdea	pdea	43.8665548069519	14.432335665187521	4	2	19.30360141405144	8.793331743153262	0.4555280413504828	2	0.5	4.396665871576631	0.4555280413504828	-0.2806917070311226	2.7143199085562215	2.1299332074640263	3.212634676612185	Tagalog
ejay	ejay	26.6332654185065	15.152227745994786	4	2	15.143326674181585	6.76828724283466	0.44694850665634533	2	0.5	3.38414362141733	0.44694850665634533	0.03762607887277291	2.7143199085562215	1.5036685230908728	3.1439916601626456	Tagalog
sisihin	Shin	24.0221609657118	15.301091131909265	4	2	10.115921214060782	3.7461057897768693	0.37031780996573116	2	0.5	1.8730528948884346	0.37031780996573116	0.10344964419567132	2.7143199085562215	0.5690295492214797	2.5308858961556795	Tagalog
gwen	gwen	23.7610505204323	15.316858447767585	4	2	13.241566366958024	5.849248944179262	0.4417339144087231	2	0.5	2.924624472089631	0.4417339144087231	0.11042154624526664	2.7143199085562215	1.219447001073105	3.1022708263188528	Tagalog
vhong	vhoG	18.0166207242838	15.716128631188113	4	2	13.217189969339614	6.384299955174871	0.48303005177233277	2	0.5	3.1921499775874356	0.48303005177233277	0.2869685651002936	2.7143199085562215	1.384916724070295	3.432672361764552	Tagalog
dlsu	dlsu	16.7110684978864	15.824653087966285	4	2	18.353499049350514	10.88182383495847	0.5929018660528141	2	0.5	5.440911917479235	0.5929018660528141	0.3349552921654291	2.7143199085562215	2.7758196758771576	4.311733176117252	Tagalog
uhaw	uhaw	12.5333013734148	16.23969058724513	4	2	10.28153326846895	6.039674372784993	0.5874293468764291	2	0.5	3.0198371863924964	0.5874293468764291	0.5184742130700498	2.7143199085562215	1.2783379147906198	4.267948724251616	Tagalog
bday	bday	10.7055282564585	16.467101083348197	4	2	14.686366011184132	5.969375116779193	0.40645692148985835	2	0.5	2.9846875583895964	0.40645692148985835	0.619029292839313	2.7143199085562215	1.256597186936386	2.820027174238915	Tagalog
odom	odom	9.92219692062007	16.576725574522698	4	2	11.521450673133208	7.106625850944877	0.6168169315272746	2	0.5	3.5533129254724387	0.6168169315272746	0.6675024268573694	2.7143199085562215	1.6083030244986496	4.503072484282403	Tagalog
lgus	lgus	9.39997603006112	16.65472808652397	4	2	16.63365577180692	7.546192930556581	0.4536701392695007	2	0.5	3.7730964652782903	0.4536701392695007	0.7019931339746698	2.7143199085562215	1.7442434141199845	3.1977700006532856	Tagalog
eala	eala	9.13886558478165	16.695370071021316	4	2	10.085460896949417	4.432887490073584	0.4395324651364634	2	0.5	2.216443745036792	0.4395324651364634	0.7199639755283482	2.7143199085562215	0.781423461899404	3.08465750298655	Tagalog
rfid	rfid	6.00554024142794	17.301091131909267	4	2	16.461609827706347	7.135929597957876	0.4334891710255138	2	0.5	3.567964798978938	0.4334891710255138	0.9877982691921962	2.7143199085562215	1.6173654929388044	3.036306403322513	Tagalog
hret	hret	4.69998801503056	17.65472808652397	4	2	15.516159313284685	6.784840282259622	0.43727575524766304	2	0.5	3.392420141129811	0.43727575524766304	1.1441674464729317	2.7143199085562215	1.5087877113404442	3.066602051316822	Tagalog
sbma	sbma	4.69998801503056	17.65472808652397	4	2	19.870771190205367	11.673905645944778	0.5874913225159092	2	0.5	5.836952822972389	0.5874913225159092	1.1441674464729317	2.7143199085562215	3.0207786707422146	4.268444578046951	Tagalog
efren	efren	27.9388176449039	15.083186101565135	5	2	15.125476420088956	8.128948611995762	0.5374342193413009	3	0.6	2.7096495373319205	0.5374342193413009	-0.09337625563158557	2.853553174825748	0.3023912149869329	2.5324138343121123	Tagalog
lpgma	lpgma	8.6166446942227	16.78025896860783	5	2	23.777039685024803	16.27453934449562	0.6844644901167242	3	0.6	5.424846448165206	0.6844644901167242	0.7734914717159365	2.853553174825748	1.6589321129796704	3.4152596410716103	Tagalog
syuting	SutiG	6.52776113198689	17.180796898191556	5	2	16.145323868954964	10.260935271841294	0.6355360446854543	3	0.6	3.4203117572804316	0.6355360446854543	0.9780869322159791	2.853553174825748	0.6574455251078898	3.121467943263774	Tagalog
knows	knows	6.00554024142794	17.301091131909267	5	2	27.862226119313494	17.91629463884073	0.6430317004146894	3	0.6	5.97209821294691	0.6430317004146894	1.0395334328471513	2.853553174825748	1.9323448431809773	3.1664757378802695	Tagalog
django	djaGo	5.48331935086899	17.43233566518752	5	2	20.804157239876712	10.332482025484667	0.49665467850241546	3	0.6	3.4441606751615557	0.49665467850241546	1.1065733652502674	2.853553174825748	0.669360694998344	2.2875523752308196	Tagalog
byuti	byuti	4.43887756975109	17.73719024671594	5	2	16.903215142757375	10.112223666908658	0.598242617247968	3	0.6	3.370741222302886	0.598242617247968	1.2622936076706972	2.853553174825748	0.6326795651275572	2.8975389124646425	Tagalog
zubiri	zubiri	22.1943878487554	15.415262151828582	6	2	18.62556838271639	14.396749692220512	0.7729562607914819	4	0.6666666666666666	3.599187423055128	0.7729562607914819	-0.18143621488469275	2.6541433132615646	0.7507326774862031	3.222602603392673	Tagalog
zirkoh	zirkoh	14.0999640450917	16.069765585802813	6	2	25.66817441264146	22.024318222866736	0.8580399162326036	4	0.6666666666666666	5.506079555716684	0.8580399162326036	0.22367931974766808	2.6541433132615646	1.7929966294053465	3.671653840720212	Tagalog
dwyane	dwyane	13.3166327092533	16.152227745994782	6	2	25.97928819857052	18.09257548489963	0.6964230638888387	4	0.6666666666666666	4.5231438712249075	0.6964230638888387	0.27472061361874717	2.6541433132615646	1.2557462975940628	2.818678646581173	Tagalog
vuitton	vuiton	5.22220890558951	17.50272499307892	6	2	22.501562095730975	15.668672081566232	0.6963370816170541	4	0.6666666666666666	3.917168020391558	0.6963370816170541	1.1106328271726384	2.6541433132615646	0.9245336536069113	2.818224852661143	Tagalog
smokey	smokey	4.43887756975109	17.73719024671594	6	2	27.879882836496595	21.26797979295716	0.76284322705675	4	0.6666666666666666	5.31699494823929	0.76284322705675	1.2557589054318594	2.6541433132615646	1.6896472753118883	3.16922842373182	Tagalog
tweetbiz	twetbiz	12.0110804828559	16.301091131909267	7	2	34.58174733633009	26.378955649649548	0.7627999647645611	5	0.7142857142857143	5.275791129929909	0.7627999647645611	0.3013192571236577	3.1692412450347747	1.7408189962316956	3.138257830195468	Tagalog
florida	florida	9.92219692062007	16.576725574522698	7	2	22.914419934125203	16.227919406941986	0.7081968233799637	5	0.7142857142857143	3.2455838813883973	0.7081968233799637	0.4774028833082405	3.1692412450347747	0.36614274781040207	2.840076676170203	Tagalog
eigenmann	eigenman	24.0221609657118	15.301091131909265	8	2	33.324316780534964	26.086780872937975	0.7828151750188469	6	0.75	4.3477968121563295	0.7828151750188469	-0.5602983250188824	2.8685563324282906	1.2892398724493606	2.8242972380797307	Tagalog
sa	sa	91352.8837168132	3.408222514081794	2	3	1.0283724983114104	0	0	-1	-0.5	-0	0	-2.751281179825828	-0.34118714619787505	0	0	Tagalog
ang	aG	76485.2549625998	3.6644911369963853	2	3	3.831640145927738	0	0	-1	-0.5	-0	0	-2.681279544055816	-0.34118714619787505	0	0	Tagalog
na	na	69327.1732157083	3.8062518484122783	2	3	0.8829605788097805	0	0	-1	-0.5	-0	0	-2.6425565760460317	-0.34118714619787505	0	0	Tagalog
at	at	29883.8293517907	5.020307756152198	2	3	3.8488863609856443	0	0	-1	-0.5	-0	0	-2.310928386486652	-0.34118714619787505	0	0	Tagalog
ni	ni	19913.3269987939	5.605938506898781	2	3	3.169607541865525	0	0	-1	-0.5	-0	0	-2.150959093159845	-0.34118714619787505	0	0	Tagalog
ay	ay	17853.4266959841	5.763471780511641	2	3	4.598362241392347	0	0	-1	-0.5	-0	0	-2.1079277352211077	-0.34118714619787505	0	0	Tagalog
paa	pa	57.7054084067641	6.6696372546569105	2	3	0.7512137317380081	0	0	-1	-0.5	-0	0	-1.8604020539767896	-0.34118714619787505	0	0	Tagalog
pa	pa	9526.61459602167	6.6696372546569105	2	3	0.7512137317380081	0	0	-1	-0.5	-0	0	-1.8604020539767896	-0.34118714619787505	0	0	Tagalog
ko	ko	4354.53889592582	7.799080920496702	2	3	3.5365405443350637	0	0	-1	-0.5	-0	0	-1.551886312877988	-0.34118714619787505	0	0	Tagalog
of	of	2479.24367792862	8.611700802929422	2	3	7.972820275309217	0	0	-1	-0.5	-0	0	-1.3299132894833772	-0.34118714619787505	0	0	Tagalog
nga	Ga	2364.35508200565	8.680154162128753	2	3	1.4543999315496174	0	0	-1	-0.5	-0	0	-1.3112147572034325	-0.34118714619787505	0	0	Tagalog
mo	mo	1997.4949063879901	8.923409055498905	2	3	4.731201971911779	0	0	-1	-0.5	-0	0	-1.244767916184407	-0.34118714619787505	0	0	Tagalog
ba	ba	1774.7676965646	9.093970680489482	2	3	1.2690811456628623	0	0	-1	-0.5	-0	0	-1.1981777694347167	-0.34118714619787505	0	0	Tagalog
po	po	1619.66809206859	9.225902678394524	2	3	3.971110859790146	0	0	-1	-0.5	-0	0	-1.1621395859118095	-0.34118714619787505	0	0	Tagalog
ka	ka	1224.08576747018	9.629896233544036	2	3	0.8611230926684038	0	0	-1	-0.5	-0	0	-1.051785811893858	-0.34118714619787505	0	0	Tagalog
de	de	858.792254524195	10.14121979513088	2	3	3.1407583362774276	0	0	-1	-0.5	-0	0	-0.9121140670202891	-0.34118714619787505	0	0	Tagalog
in	in	817.536804170038	10.212245294827612	2	3	1.8392151941683508	0	0	-1	-0.5	-0	0	-0.892712935880599	-0.34118714619787505	0	0	Tagalog
to	to	599.509582361676	10.659746161290593	2	3	3.1230644942098094	0	0	-1	-0.5	-0	0	-0.7704748237596833	-0.34118714619787505	0	0	Tagalog
eh	eh	520.393117441995	10.863927093127224	2	3	5.3046501034555265	0	0	-1	-0.5	-0	0	-0.714701319149355	-0.34118714619787505	0	0	Tagalog
on	on	480.704329759515	10.978379176616373	2	3	2.294122336322191	0	0	-1	-0.5	-0	0	-0.6834379012154448	-0.34118714619787505	0	0	Tagalog
as	as	356.154647361205	11.411025158942108	2	3	4.1440389597998815	0	0	-1	-0.5	-0	0	-0.5652575085958661	-0.34118714619787505	0	0	Tagalog
la	la	304.454779195869	11.637301014765782	2	3	1.1352069414328994	0	0	-1	-0.5	-0	0	-0.5034486150108107	-0.34118714619787505	0	0	Tagalog
us	us	268.421537747301	11.819028538772402	2	3	3.8092273363903746	0	0	-1	-0.5	-0	0	-0.45380842184078213	-0.34118714619787505	0	0	Tagalog
or	or	259.02156171724	11.870456777579406	2	3	3.6428993896683237	0	0	-1	-0.5	-0	0	-0.43976042485887723	-0.34118714619787505	0	0	Tagalog
ai	ai	245.966039453266	11.945069838353499	2	3	5.609624554955426	0	0	-1	-0.5	-0	0	-0.41937932535246386	-0.34118714619787505	0	0	Tagalog
di	di	201.577263755755	12.232196050698201	2	3	2.3895261730381727	0	0	-1	-0.5	-0	0	-0.34094871489386047	-0.34118714619787505	0	0	Tagalog
so	so	195.571723514327	12.275831179507533	2	3	3.5043745792349896	0	0	-1	-0.5	-0	0	-0.32902946251349247	-0.34118714619787505	0	0	Tagalog
up	up	177.555102790043	12.415262151828584	2	3	4.9040865227318156	0	0	-1	-0.5	-0	0	-0.29094287965964927	-0.34118714619787505	0	0	Tagalog
is	is	164.23847008079	12.527736881086994	2	3	4.202656203275186	0	0	-1	-0.5	-0	0	-0.26021959039648407	-0.34118714619787505	0	0	Tagalog
me	me	138.388535998122	12.77480453851572	2	3	4.781828044981747	0	0	-1	-0.5	-0	0	-0.19273126518064246	-0.34118714619787505	0	0	Tagalog
it	it	101.833073658995	13.217322774216678	2	3	3.2458607018403534	0	0	-1	-0.5	-0	0	-0.07185419484397956	-0.34118714619787505	0	0	Tagalog
be	be	89.5608827308601	13.40258832179347	2	3	4.33847927115121	0	0	-1	-0.5	-0	0	-0.021247564837134324	-0.34118714619787505	0	0	Tagalog
we	we	81.2053484819169	13.54388231783568	2	3	3.3020285374496576	0	0	-1	-0.5	-0	0	0.017347916478316038	-0.34118714619787505	0	0	Tagalog
noo	no	15.6666267167685	13.796747091396398	2	3	4.0890511878171285	0	0	-1	-0.5	-0	0	0.0864197660732754	-0.34118714619787505	0	0	Tagalog
no	no	68.1498262179431	13.796747091396398	2	3	4.0890511878171285	0	0	-1	-0.5	-0	0	0.0864197660732754	-0.34118714619787505	0	0	Tagalog
am	am	67.8887157726637	13.802285274937827	2	3	4.509184653834397	0	0	-1	-0.5	-0	0	0.08793256113450995	-0.34118714619787505	0	0	Tagalog
da	da	66.5831635462663	13.830299651107422	2	3	1.3710128753868458	0	0	-1	-0.5	-0	0	0.0955848914691593	-0.34118714619787505	0	0	Tagalog
he	he	66.5831635462663	13.830299651107422	2	3	4.561394029582752	0	0	-1	-0.5	-0	0	0.0955848914691593	-0.34118714619787505	0	0	Tagalog
if	if	61.8831755312357	13.935909839068023	2	3	9.948610580668646	0	0	-1	-0.5	-0	0	0.12443308141586362	-0.34118714619787505	0	0	Tagalog
ho	ho	59.7942919689999	13.985449299869337	2	3	3.9068905956085187	0	0	-1	-0.5	-0	0	0.13796514496627407	-0.34118714619787505	0	0	Tagalog
al	al	58.749850187882	14.010871896749245	2	3	3.297680548640685	0	0	-1	-0.5	-0	0	0.14490951196241733	-0.34118714619787505	0	0	Tagalog
go	go	57.7054084067641	14.03675052857485	2	3	4.180266945663772	0	0	-1	-0.5	-0	0	0.1519784482164117	-0.34118714619787505	0	0	Tagalog
ok	ok	57.7054084067641	14.03675052857485	2	3	4.284764281623957	0	0	-1	-0.5	-0	0	0.1519784482164117	-0.34118714619787505	0	0	Tagalog
el	el	56.6609666256462	14.063101855521802	2	3	3.296088089952103	0	0	-1	-0.5	-0	0	0.159176504576249	-0.34118714619787505	0	0	Tagalog
hi	hi	53.788751727572	14.138152560783062	2	3	1.9068905956085185	0	0	-1	-0.5	-0	0	0.1796771498531864	-0.34118714619787505	0	0	Tagalog
ed	ed	46.7387697050261	14.340837310702026	2	3	4.127111917903339	0	0	-1	-0.5	-0	0	0.2350419615051066	-0.34118714619787505	0	0	Tagalog
bi	bi	44.3887756975109	14.415262151828578	2	3	2.027691733869048	0	0	-1	-0.5	-0	0	0.25537164744765073	-0.34118714619787505	0	0	Tagalog
an	an	41.2554503541571	14.52087233978918	2	3	2.769690233357452	0	0	-1	-0.5	-0	0	0.2842198373943556	-0.34118714619787505	0	0	Tagalog
id	id	33.1610265504934	14.835968401194116	2	3	5.14986878891575	0	0	-1	-0.5	-0	0	0.3702906152842607	-0.34118714619787505	0	0	Tagalog
sya	Sa	33.1610265504934	14.835968401194116	2	3	3.604280677920935	0	0	-1	-0.5	-0	0	0.3702906152842607	-0.34118714619787505	0	0	Tagalog
do	do	30.2888116524192	14.966672092838708	2	3	2.6643202923344402	0	0	-1	-0.5	-0	0	0.4059932780302578	-0.34118714619787505	0	0	Tagalog
vii	vi	5.22220890558951	15.004474125551095	2	3	1.4066252594626438	0	0	-1	-0.5	-0	0	0.4163191778427389	-0.34118714619787505	0	0	Tagalog
vi	vi	29.5054803165807	15.004474125551095	2	3	1.4066252594626438	0	0	-1	-0.5	-0	0	0.4163191778427389	-0.34118714619787505	0	0	Tagalog
eb	eb	27.6777071996244	15.096732633403082	2	3	5.527042524791975	0	0	-1	-0.5	-0	0	0.4415202593871308	-0.34118714619787505	0	0	Tagalog
un	un	24.0221609657118	15.301091131909265	2	3	3.147643554066306	0	0	-1	-0.5	-0	0	0.4973422676230126	-0.34118714619787505	0	0	Tagalog
sid	Sd	22.4554982940349	15.398388333264183	2	3	5.369815424283912	0	0	-1	-0.5	-0	0	0.5239197048965505	-0.34118714619787505	0	0	Tagalog
en	en	21.1499460676375	15.484803085081658	2	3	2.547220406729605	0	0	-1	-0.5	-0	0	0.54752452203368	-0.34118714619787505	0	0	Tagalog
nu	nu	18.2777311695633	15.695370071021314	2	3	4.415037499278844	0	0	-1	-0.5	-0	0	0.6050424237076962	-0.34118714619787505	0	0	Tagalog
ad	ad	16.9721789431659	15.802285274937828	2	3	5.10048868142938	0	0	-1	-0.5	-0	0	0.634247088241812	-0.34118714619787505	0	0	Tagalog
ra	ra	15.6666267167685	15.917762492357767	2	3	1.6321932722491446	0	0	-1	-0.5	-0	0	0.6657905289550322	-0.34118714619787505	0	0	Tagalog
asi	aS	14.8832953809301	15.991763073801541	2	3	6.372448317042657	0	0	-1	-0.5	-0	0	0.6860043252835928	-0.34118714619787505	0	0	Tagalog
iz	iz	13.3166327092533	16.152227745994782	2	3	8.21164498650244	0	0	-1	-0.5	-0	0	0.7298364160369321	-0.34118714619787505	0	0	Tagalog
iv	iv	12.7944118186943	16.209943243851075	2	3	8.948610580668646	0	0	-1	-0.5	-0	0	0.7456018234959937	-0.34118714619787505	0	0	Tagalog
lo	lo	12.5333013734148	16.23969058724513	2	3	3.2930469749002333	0	0	-1	-0.5	-0	0	0.753727526415504	-0.34118714619787505	0	0	Tagalog
ung	uG	12.5333013734148	16.23969058724513	2	3	4.932375567163239	0	0	-1	-0.5	-0	0	0.753727526415504	-0.34118714619787505	0	0	Tagalog
im	im	10.966638701738	16.43233566518752	2	3	4.926242767640192	0	0	-1	-0.5	-0	0	0.8063499287433273	-0.34118714619787505	0	0	Tagalog
le	le	10.966638701738	16.43233566518752	2	3	4.543142325026529	0	0	-1	-0.5	-0	0	0.8063499287433273	-0.34118714619787505	0	0	Tagalog
fe	fe	9.13886558478165	16.695370071021316	2	3	2.438573013739633	0	0	-1	-0.5	-0	0	0.8781996872613475	-0.34118714619787505	0	0	Tagalog
og	og	9.13886558478165	16.695370071021316	2	3	4.699801780902801	0	0	-1	-0.5	-0	0	0.8781996872613475	-0.34118714619787505	0	0	Tagalog
sim	Sm	8.87775513950217	16.737190246715944	2	3	4.833762524043703	0	0	-1	-0.5	-0	0	0.889623172015425	-0.34118714619787505	0	0	Tagalog
yu	yu	8.09442380366374	16.870456777579406	2	3	3.929534256152606	0	0	-1	-0.5	-0	0	0.9260258929093765	-0.34118714619787505	0	0	Tagalog
wa	wa	7.83331335838427	16.917762492357763	2	3	0.5203095423789028	0	0	-1	-0.5	-0	0	0.938947792508682	-0.34118714619787505	0	0	Tagalog
que	ke	7.04998202254584	16.96667209283871	2	3	5.802973526630722	0	0	-1	-0.5	-0	0	0.9523078051375597	-0.34118714619787505	0	0	Tagalog
ke	ke	7.57220291310479	16.96667209283871	2	3	5.802973526630722	0	0	-1	-0.5	-0	0	0.9523078051375597	-0.34118714619787505	0	0	Tagalog
ug	ug	7.04998202254584	17.069765585802813	2	3	4.849120063513888	0	0	-1	-0.5	-0	0	0.9804685415658216	-0.34118714619787505	0	0	Tagalog
yo	yo	7.04998202254584	17.069765585802813	2	3	2.3203242091847724	0	0	-1	-0.5	-0	0	0.9804685415658216	-0.34118714619787505	0	0	Tagalog
uk	uk	6.26665068670742	17.239690587245125	2	3	4.286806301737931	0	0	-1	-0.5	-0	0	1.0268847899691538	-0.34118714619787505	0	0	Tagalog
bo	bo	5.74442979614846	17.365221469328986	2	3	3.304209369066464	0	0	-1	-0.5	-0	0	1.0611744622106574	-0.34118714619787505	0	0	Tagalog
